issue_id,activity_id,state,title,labels,updated_at,url,tasks_total,tasks_done
3276170882,GGI-A-37,open,Open source enabling digital transformation,"Decision Maker,Not Selected,Strategy Goal",2025-07-30 08:36:01+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/75,0,0
3276170798,GGI-A-36,open,Open source enabling innovation,"Decision Maker,Not Selected,Strategy Goal",2025-07-30 08:35:59+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/74,0,0
3276170676,GGI-A-35,open,Open source and digital sovereignty,"Decision Maker,Not Selected,Strategy Goal",2025-07-30 08:35:57+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/73,0,0
3276170569,GGI-A-34,open,C-Level awareness,"Decision Maker,Not Selected,Strategy Goal",2025-07-30 08:35:54+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/72,0,0
3276170476,GGI-A-16,open,Setup a strategy for corporate open source governance,"Decision Maker,Not Selected,Strategy Goal",2025-07-30 08:35:52+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/71,0,0
3276170347,GGI-A-43,open,Open source procurement policy,"Decision Maker,Not Selected,Engagement Goal",2025-07-30 08:35:50+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/70,0,0
3276170231,GGI-A-33,open,Engage with open source vendors,"Decision Maker,Not Selected,Engagement Goal",2025-07-30 08:35:47+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/69,0,0
3276170087,GGI-A-31,open,Publicly assert use of open source,"Team Leader,Decision Maker,Not Selected,Engagement Goal",2025-07-30 08:35:45+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/68,0,0
3276169937,GGI-A-30,open,Support open source communities,"Decision Maker,Not Selected,Engagement Goal",2025-07-30 08:35:42+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/67,0,0
3276169568,GGI-A-29,open,Engage with open source projects,"Developer,Decision Maker,Not Selected,Engagement Goal",2025-07-30 08:35:40+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/66,0,0
3276169492,GGI-A-39,open,Upstream first,"Developer,Team Leader,Not Selected,Culture Goal",2025-07-30 08:35:38+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/65,0,0
3276169396,GGI-A-28,open,HR perspective,"Decision Maker,Not Selected,Culture Goal",2025-07-30 08:35:35+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/64,0,0
3276169299,GGI-A-27,open,Belong to the open source community,"Team Leader,Decision Maker,Not Selected,Culture Goal",2025-07-30 08:35:33+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/63,0,0
3276169192,GGI-A-26,open,Contribute to open source projects,"Developer,Team Leader,Not Selected,Culture Goal",2025-07-30 08:35:30+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/62,0,0
3276169081,GGI-A-25,open,Promote open source development best practices,"Developer,Team Leader,Not Selected,Culture Goal",2025-07-30 08:35:28+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/61,0,0
3276168971,GGI-A-44,open,Run code reviews,"Developer,Team Leader,Not Selected,Trust Goal",2025-07-30 08:35:26+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/60,0,0
3276168875,GGI-A-24,open,Manage key indicators,"Team Leader,Decision Maker,Not Selected,Trust Goal",2025-07-30 08:35:23+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/59,0,0
3276168772,GGI-A-23,open,Manage software dependencies,"Developer,Team Leader,Not Selected,Trust Goal",2025-07-30 08:35:21+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/58,0,0
3276168674,GGI-A-22,open,Manage software vulnerabilities,"Team Leader,Not Selected,Trust Goal",2025-07-30 08:35:18+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/57,0,0
3276168563,GGI-A-21,open,Manage legal compliance,"Decision Maker,Not Selected,Trust Goal",2025-07-30 08:35:16+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/56,0,0
3276168472,GGI-A-42,open,Manage open source skills and resources,"Team Leader,Not Selected,Usage Goal",2025-07-30 08:35:14+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/55,0,0
3276168065,GGI-A-20,open,Open source enterprise software,"Decision Maker,Not Selected,Usage Goal",2025-07-30 08:35:11+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/54,0,0
3276167955,GGI-A-19,open,Open source supervision,"Team Leader,Not Selected,Usage Goal",2025-07-30 08:35:09+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/53,0,0
3276167841,GGI-A-18,open,Open source competency growth,"Team Leader,Not Selected,Usage Goal",2025-07-30 08:35:06+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/52,0,0
3276167739,GGI-A-17,open,Inventory of open source skills and resources,"Developer,Team Leader,Not Selected,Usage Goal",2025-07-30 08:35:04+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/51,0,0
3276157278,GGI-A-37,open,Open source enabling digital transformation,"Decision Maker,In Progress,Strategy Goal",2025-07-30 08:35:28+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/50,0,0
3276157155,GGI-A-36,open,Open source enabling innovation,"Decision Maker,Not Selected,Strategy Goal",2025-07-30 08:31:23+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/49,0,0
3276157047,GGI-A-35,open,Open source and digital sovereignty,"Decision Maker,Not Selected,Strategy Goal",2025-07-30 08:31:20+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/48,0,0
3276156950,GGI-A-34,open,C-Level awareness,"Decision Maker,Not Selected,Strategy Goal",2025-07-30 08:31:18+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/47,0,0
3276156754,GGI-A-16,open,Setup a strategy for corporate open source governance,"Decision Maker,Not Selected,Strategy Goal",2025-07-30 08:31:16+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/46,0,0
3276156436,GGI-A-43,open,Open source procurement policy,"Decision Maker,Not Selected,Engagement Goal",2025-07-30 08:31:13+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/45,0,0
3276156325,GGI-A-33,open,Engage with open source vendors,"Decision Maker,Not Selected,Engagement Goal",2025-07-30 08:31:11+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/44,0,0
3276156210,GGI-A-31,open,Publicly assert use of open source,"Team Leader,Decision Maker,Not Selected,Engagement Goal",2025-07-30 08:31:08+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/43,0,0
3276156089,GGI-A-30,open,Support open source communities,"Decision Maker,Not Selected,Engagement Goal",2025-07-30 08:31:06+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/42,0,0
3276155983,GGI-A-29,open,Engage with open source projects,"Developer,Decision Maker,Not Selected,Engagement Goal",2025-07-30 08:31:04+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/41,0,0
3276155853,GGI-A-39,open,Upstream first,"Developer,Team Leader,Not Selected,Culture Goal",2025-07-30 08:31:01+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/40,0,0
3276155722,GGI-A-28,open,HR perspective,"Decision Maker,Not Selected,Culture Goal",2025-07-30 08:30:59+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/39,0,0
3276155602,GGI-A-27,open,Belong to the open source community,"Team Leader,Decision Maker,Not Selected,Culture Goal",2025-07-30 08:30:56+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/38,0,0
3276155490,GGI-A-26,open,Contribute to open source projects,"Developer,Team Leader,Not Selected,Culture Goal",2025-07-30 08:30:54+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/37,0,0
3276155396,GGI-A-25,open,Promote open source development best practices,"Developer,Team Leader,Not Selected,Culture Goal",2025-07-30 08:30:52+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/36,0,0
3276155300,GGI-A-44,open,Run code reviews,"Developer,Team Leader,Not Selected,Trust Goal",2025-07-30 08:30:49+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/35,0,0
3276155194,GGI-A-24,open,Manage key indicators,"Team Leader,Decision Maker,Not Selected,Trust Goal",2025-07-30 08:30:47+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/34,0,0
3276155098,GGI-A-23,open,Manage software dependencies,"Developer,Team Leader,Not Selected,Trust Goal",2025-07-30 08:30:45+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/33,0,0
3276154975,GGI-A-22,open,Manage software vulnerabilities,"Team Leader,Not Selected,Trust Goal",2025-07-30 08:30:42+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/32,0,0
3276154863,GGI-A-21,open,Manage legal compliance,"Decision Maker,Not Selected,Trust Goal",2025-07-30 08:30:40+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/31,0,0
3276154736,GGI-A-42,open,Manage open source skills and resources,"Team Leader,Not Selected,Usage Goal",2025-07-30 08:30:37+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/30,0,0
3276154629,GGI-A-20,open,Open source enterprise software,"Decision Maker,Not Selected,Usage Goal",2025-07-30 08:30:35+00:00,https://api.github.com/repos/Ville-Eurometropole-Strasbourg/my-ggi-board/issues/29,0,0
